Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
I need malware removed from my websites,Technology & Programming,Entry ($),Website Development,GBP,35.0,remote,ALL,fixed_price,2023-01-29 01:45:11,"I have two websites which aren't working as there is a malware that has infected the websites.
I need the malware removed, the website working and my webmail active.
My hosting is with godaddy
I need speedy work over the weekend.",,2020-04-07,Karachi,Pakistan,GBP,
What Do We Do With A Drunken Sailor,Music & Audio,Expert ($$$),Audio & Sound Recording,USD,100.0,remote,ALL,fixed_price,2023-01-29 01:48:07,I need someone to record the song drunken sailor preferably in a style similar to the one made by the Irish Rovers.,,2022-09-17,London,United Kingdom,USD,
Razor / Webmatrix / .Net help,Technology & Programming,Expert ($$$),Website Development,USD,37.0,remote,ALL,hourly,2023-01-29 01:31:51,"Hi - I need help connecting a Webmatrix connectionstring to an Access database from within a Razor page (.Net/.CSHTML). The connectionstring is in a web.config file or can be as a Data file from within the Visual Studio project.

So within the Razor code this line needs to work: var db = Database.Open(""connectionstringname"")

It works on another machine. Am receiving: FileNotFoundException.

Please see my feedback.

Thanks

",,2015-08-11,City of London,United Kingdom,GBP,Full Stack Developer - SAFe Certified
Fashion Designer Needed for Breastfeeding Apparel Brand,Design,Expert ($$$),Fashion & Clothing,USD,200.0,remote,ALL,fixed_price,2023-01-29 01:32:02,"Hello! 

We are looking to hire a designer for our breastfeeding apparel brand. We're looking to find innovative stand out designers that can bring a uniqueness to the brand. 

For your work we'd like to find someone who can design one 24-36 piece collection every month.Looking to hire someone asap!

We have an open budget so please submit your rates for a collection this size!",,2022-06-16,Alpharetta,United States,USD,
Designing an intelligent system,Technology & Programming,Entry ($),Data Science & Analysis,USD,100.0,remote,ALL,fixed_price,2023-01-29 01:32:39,"Hello there 
Experience Level: Expert
I need someone who can design an intelligent system for predicting treatment response for depressed people using EEG signal processing.
I prefer that people who send proposals also offer prices
The deadline for submitting proposals is February 2rd",,2022-07-31,Helsinki,Finland,GBP,engineer
TARDIS Interior render for Doctor Who Parody Show,Design,Expert ($$$),Illustration & Drawing,GBP,80.0,remote,ALL,fixed_price,2023-01-29 01:46:55,"I need a realistic render of a TARDIS interior from the BBC show Doctor Who that resembles the interior of the TARDIS while being legally distinct and copyright free. It is to be used as the background to a poster for a parody improv show, and we intend to photoshop the cast over the top of the image. The image will need to resemble the TARDIS interior from Peter Capaldi's era of the show and have plenty of space for people to be edited into the space 9there will be 8-9 people on the poster).",,2023-01-28,Bradford,United Kingdom,GBP,
Graphic designer to recreate logo files,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-29 01:46:25,"Recreate illustration from original logo file into a JPG and PNG files that can be scaled and maintain their crispness when enlarged. Old logo files were lost and only file we have is just a screenshot of the logo thus cannot be manipulated or enlarged. Would like a set of files with just the illustration and no words, and a set with the words and tagline as shown in the attached file. We will be using this as web banner, web page background, business cards, posters, etc.",,2023-01-28,London,United Kingdom,GBP,Graphic design
I need a logo,Design,Expert ($$$),Logo Design,GBP,25.0,remote,ALL,hourly,2023-01-29 01:46:08,I need a designer to create a logo for me - primarily for use on social media but also to be versatile so I can use it for business cards.  Thank you. My company name is Cariad World Travel and Cariad is welsh for love.  The tag line is Dream Plan Book,,2023-01-28,Staines,United Kingdom,GBP,
I am looking for a logo designer,Design,Entry ($),Logo Design,GBP,50.0,remote,ALL,fixed_price,2023-01-29 01:31:26,"Hello.
I am looking for a logo designer who can work for me.
Fast delivery and response is necessary.
Thank you.
",,2020-05-02,Belgrade,Serbia,GBP,Full stack Web  | Blockchain Developer
HTML signatures / Not to go to Junk emails,Digital Marketing,Intermediate ($$),Email Marketing,GBP,10.0,remote,ALL,fixed_price,2023-01-28 18:56:19,I need to have HTML signatures with good links. My current HTML signatures land in clients Junk email folder. You must be able to demonstrate it will not go to Junk email.,,2018-11-24,Reading,United Kingdom,GBP,Director
Very Simple Layout of a Single story Unit,Design,Entry ($),Computer-Aided Design (CAD),USD,10.0,remote,ALL,fixed_price,2023-01-28 18:48:05,"I am looking for someone who can create the layout of small manufacturing plant. Everything has been designed and planned, that just need to put on degital mode using CAD. I need 2-D layout and 3D rendering from various angle. If someone is able to create animated tour of the unit, it will be added advantage but its not mandatory.

PS: Its regular type of work",,2012-01-14,Kathmandu,Nepal,USD,Art Director
Resume a CV ,Writing & Translation,Intermediate ($$),"Resumes, CVs & Cover Letters",GBP,30.0,remote_country,GB,hourly,2023-01-29 01:33:44,"I am attaching my CV draft; I need you to restructure the document, paraphrase it, and improve the language.
One hour will be enough for a professional person to do this work. But you can do it whenever you are accessible by tomorrow, Monday, at 10 pm Uk time.",1 day or less,2021-10-04,London,United Kingdom,GBP,
Experienced Video Editor ,"Video, Photo & Image",Expert ($$$),Filmmaking,GBP,448.0,remote,ALL,fixed_price,2023-01-28 18:27:09,"Need Highly experienced video editor to create various promotional clips for a charity project, we already have the footage. ",,2017-08-10,Leeds,United Kingdom,GBP,Business manager
Graphic designer,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-28 18:22:05,We are going to launch an handloom and handmade women’s ethnic clothing brand and for that want want a graphic designer who can design our Packaging box and do some work on brand colour and logo with their creativity and knowledge.,,2023-01-27,London,United Kingdom,GBP,Graphic design
Spanish Voice Over Artist Needed For Movie Recap YouTube Channel,Music & Audio,Entry ($),Voice-Over,EUR,74.0,remote,ALL,fixed_price,2023-01-28 18:00:17,"I am running a spanish language YouTube channel in Movies Recap niche.

I need a spanish language voice over artist who can narrate a script of between 2500 to 3500 words per script.

I have a YouTube channel with 5k subscribers but with a very limited views right now. This job will not be on usual pay basis but will be on profit base. You will be paid 20% every month from the earnings made by the videos you voiced for you. Obviously there will be transparency in all our work.

Initially I will ask only 1 voice over from you and if I am satisfied with your work then you will be working on for a long term project of around 2 to 3 voice overs per week.

For this job, you need to have

- Fluency in Spanish language
- good pronunciation skill in Spanish and of basic English words
- need to deliver clear and high-quality voice

So if you are 100% sure you meet the above criteria for this topic then go ahead and apply for this job along with few voice over samples.

P.S - Your Application will be rejected if you don't submit your Voice Over Samples.",,2023-01-28,Tbilisi,Georgia,USD,
Graphic design logo needed for real estate solutions company,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-28 17:52:04,"I need a fast turnaround.  Looking for logo that creates my brand.

We are a real estate solutions company. We buy houses, invest, manage properties, and help homeowners in sticky situations.

I am looking for a clean, impactful logo that hooks people and tells exactly what industry we are in.",,2023-01-28,London,United Kingdom,GBP,Graphic design
Fluidmaths improvements,Technology & Programming,Expert ($$$),Programming & Coding,GBP,350.0,remote,ALL,fixed_price,2023-01-28 17:52:04,I need a good web developer who can implement the attached proposal to my current website,,2021-01-23,Peterborough,United Kingdom,GBP,
Social media marketing for a food business ,Social Media,Expert ($$$),Instagram Marketing,GBP,121.0,remote,ALL,fixed_price,2023-01-28 17:36:28,"I need someone who can assist with ongoing social media marketing on my behalf mainly instagram, Facebook and tik tok. We are an ice cream and desert parlour and want to drive more customers to our shops so can offer digital vouchers, incentives, offers and increase general brand awareness - we have just undertaken a photo shoot so want to upload pictures, reels and maybe videos and willing to take on some paid / sponsored advertising on these platforms also",,2012-02-10,Sutton Coldfield,United Kingdom,GBP,
"only living in USA/Canada, job on smartphone, needed 5 people",Business,Entry ($),Administration Assistance,USD,10.0,remote_country,US,fixed_price,2023-01-28 16:57:27,"Only for people living now in USA or Canada, don't send your proposal if you are not.

Will be 25 minutes of work of easy actions, divided in 5 days, from your Smartphone for testing apps

You will be guided, better if you have more than one smartphone

",,2019-01-22,Camden,United Kingdom,EUR,.
New Logo Design,Design,Expert ($$$),Logo Design,GBP,100.0,remote,ALL,fixed_price,2023-01-28 16:32:23," I would like a new logo design for a modern lighting company, targeting younger adults.  I would like a contemporary and very simple logo in black and white only and maybe a simple emblem with it.  It needs to be suitable for websites and print.",,2014-09-03,Heathfield,United Kingdom,GBP,
Property Research Assistance ,Business,Expert ($$$),Consulting,GBP,500.0,remote,ALL,fixed_price,2023-01-28 16:32:32,"Hi, I am looking for someone who can help me with a property search for my client. 

The search is for a 2 bedroom+ property in London with a garden under £700,000. 

There are other specifics the client would like, which I will be able to confirm once the role is confirmed. 

The price given is only a place holder.

The role will include searching on websites such as Rightmove.co.uk, Zoopla.co.uk and other websites to find properties that match the criteria and then organising video/virtual viewings for the properties, by calling the real estate agents  who are marketing the property. 
You will not be involved in the deal progression or any other aspects of the search. 

The role will be a commission only based role.

The candidate will receive £3500 for successfully finding the property our client buys. 

There will be a contract between us to confirm all details to ensure a clear understanding. 

The client is looking to buy as soon as possible and has funds ready to buy.


If this role can work for you please get in contact as soon as possible",,2020-03-10,London,United Kingdom,GBP,Freelancer
Recreate statement in fillable pdf format,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-28 16:32:23,"I need for you to recreate an account statement document to be used as a fillable template. The pdf output will be more than one page so you must be able to take that into account. Output will a new pdf and must also have a crisp looking logo and images. The document should be in 8.5 x 11 format so that it can be printed. 

The finished product must be 100% perfect, not 95% perfect. Attached is the sample statement.",,2023-01-27,London,United Kingdom,GBP,Graphic design
Shopify Expert (E-commerce Specialist),Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote,ALL,fixed_price,2023-01-28 15:49:05,"I am looking for the freelancer - Shopify Expert to start my e-commerce website
I want to run a dropshipping store on different Niche Also I want Shopify Expert to find winning products I pay separate for product Research pay High for E-commerce Specialist",,2023-01-28,London,United Kingdom,GBP,
UX Designer- Review and Advise,Technology & Programming,Entry ($),Website Development,GBP,18.0,remote,ALL,hourly,2023-01-28 15:48:42,"We are looking for a certified UX website designer to review and advise on our website framework. We are an established UK business that is investing in a new startup, which is looking to launch later this year. It is a nutritional supplement on a single hero product based website. The website and wireframe is already built but we need an experienced individual to help provide suggestions on any changes which are needed.

Essentially, we are looking for a second/better pair of eyes to review, audit and suggest improvements on the current framework.

What we are looking for:
An experienced UX Website Designer
Creative individual
Experience with website building
Graphic design experience
A critical individual
Familiarity with website development
Familiarity with the ecommerce sector

If you are interested or would like to discuss this advert please do not hesitate to get in contact.
Applicants can submit a portfolio, availability, experience within their proposal.",,2023-01-28,Middlewich,United Kingdom,GBP,
Program to download active inventory from eBay API LMS Function,Technology & Programming,Intermediate ($$),eCommerce CMS Development,GBP,170.0,remote,ALL,fixed_price,2023-01-28 15:48:28,"The goal of this project is to create a program that can download the active inventory from the eBay Large Merchant Services (LMS) API. The program should be able to retrieve the active listings and store them in a structured format(CSV,TXT,XML) for further analysis.
Fields Required for active listings output:-
ItemID
SKU(CustomLabel)
Quantity
Price
The program should preferably be written in Python and make use of the requests and lxml libraries to interact with the eBay LMS API and parse the XML responses. The program should be able avoid timeouts or exceeding API call limits.

The program should also include error handling to deal with different types of errors that may occur, such as rate limiting or invalid parameters.
The end user should be able to click for full download of active inventory or set a schedule of daily downloads re- occurring.
The final output should be a structured format such as .CSV or  .TXT
Program will need to allow user to input api token and save for ongoing use.
Program will need a file path output for user to input and save for ongoing use.

Overall this program will give the developer the ability to retrieve active inventory from eBay LMS API and save to desired path with error handling.

Thanks


Documentation of LMS instructions from ebay:-

http://www.developer.ebay.com/DevZone/merchant-data/CallRef/ActiveInventoryReport.html
",,2014-09-14,Liverpool,United Kingdom,GBP,Company director of an E-commerce business located in the UK
E-commerce website builder ,Design,Intermediate ($$),Web Design,GBP,88.0,remote,ALL,fixed_price,2023-01-28 15:46:49,"Hi, 

I am looking to open online grocery store with 

Single items and multipacks 

I want website using emk platform or shopify 

I also require products on eBay Amazon and Etsy 


I want to attract uk market and worldwide ",,2021-11-17,Chelmsford,United Kingdom,GBP,
REMOTE ESCORT RECEPTIONISTS NEED FOR IMMEDIATE START,Business,Expert ($$$),Administration Assistance,GBP,83.0,remote,ALL,fixed_price,2023-01-29 01:57:45,"We are looking for experienced receptionist  working from home to take calls from clients on behalf of the escorts.
The working hours are flexible mainly from [12.00 till 18-800- 18-00 -03-00] single or double shifts as you like .We are  paying your per hour fee and a sizable  commission.You must have experience of working in this industry before applying.

Best
James",,2023-01-07,London,United Kingdom,GBP,
"""LoFi Cover Art"" Graphic Design Picture",Design,Expert ($$$),Graphic Design,USD,100.0,remote,ALL,hourly,2023-01-29 01:45:11,"Hello! I am looking for someone who can design an original collage of pictures that would be inspired by the pictures that I have attached. Importantly, the photo collage will be ONE piece of artwork, not multiple. The pictures that I have attached are from album covers of artists who create ""LoFi"" music (LoFi is a genre of music). If you do not know what that is, you can listen to that type of music here: https://www.youtube.com/watch?v=jfKfPfyJRdk (it may even be helpful for inspiration). The entire picture collage will need to be approximately 19x15 (19 inches length, 15 inches width) and I plan on framing it. I do not need each individual picture to be the exact same length and width as the others, but I do need the final product to be rectangular (once again, 19x15).  The main color theme needs to be blue and white (similar to the color of my wallpaper in the picture attached, but it does not need to be the exact same). Other colors are more than welcome to be used if your creative instincts say to do so. To clarify: the picture of my wallpaper is inspiration for the color theme, the picture of the collage is inspiration for the design/shape I want, and the picture of the river in the forest is for creative inspiration. For more clarification, feel free to google ""LoFi Cover Art"". The montage should mostly be comprised of pictures that are melancholic but some that are also hopeful and beautiful. Please reach out with any questions.",,2019-04-11,Lewisburg,United States,GBP,
LOGO DESIGNING,Design,Intermediate ($$),Logo Design,USD,97.0,remote,ALL,fixed_price,2023-01-28 16:32:23,Seeking a skilled designer for immediate hire in French timezone. The candidate must be available during French time and able to start working on quick tasks immediatel,,2023-01-28,Paris,France,EUR,
Shopify [ or similar] Acro/Dancing Entry Portal,Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote,ALL,fixed_price,2023-01-28 16:31:41,"Good day

I need your assistance with an online sales web-based site for people to enter a dancing (Acrobatics) competition.

The hope is to have a complete set-up website (can be Shopify) from around 1 February to 1 April.
People must be able to enter the competition from the site and give all the details, such as:
1. Name of Participant
2. Surname of Participant
3. Club Name
4. Date of birth
5. Contact email
6. Then they must be able to choose from the example of the different sections under six years – Novice Duet.
7. Each participant must pay the once-off registration fee and can then enter as many events as possible
8. There are also duets and larger groups. 
9. Each item has a title and must have the name of the participant or a duet or group space for the terms of the people in a group (max 10)
10. Each type of entry has a different price
11. All participants pay a once-off registration fee.
12. Pupils must be able to upload their music. In other words: When they enter the item, they must upload the music they will use. When they upload more than one item, they must also be able to upload the music for each item. We must then be able to ""download"" all the music they will use. We will need your input on how to link the music to the item they entered. 
13. The people must fill a cart with their registration fee and the items they want to enter and then pay, linked to one of the payment providers. 
14. They must see their ""entry"" receipt with an entry number.
15. From the back end, we must see all the person's entry details and have a link with their uploaded music. There must also be a link/place where they can upload their music if they don't have it ready when they enter. 
16. Entry can only be 'valid' after payment.
17. The site's overall feel must be ""happy"", professional and organised – we have a logo etc. A professional look is important
18. I will need to know that the person helping has done this type of work before and would need examples of their work.
19. The work offered must be better than what I can do for myself on Shopify.

https://www.dancearchy.com/

This is an example of that we would like to get – ours is less complicated but needs to look more professional",,2023-01-28,London,United Kingdom,GBP,
Shopify.                    ,Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote,ALL,fixed_price,2023-01-28 15:49:40,i need product page designer in shopify store. it is necessary to increase the conversion rate,,2023-01-28,London,United Kingdom,GBP,
Design logo and banner,Design,Entry ($),Logo Design,USD,68.0,remote,ALL,fixed_price,2023-01-28 18:52:37,I have a discord/YouTube  channel called Trading Licks and need a logo and a banner created for it. I want it to be modern and sleek,,2023-01-28,Clifton,United States,USD,Graphic
Expert Graphic Design and Illustrator Needed,Design,Entry ($),Graphic Design,USD,68.0,remote,ALL,fixed_price,2023-01-28 18:22:56,"Hi, I am looking for expert Graphic Design and Illustrator who proficient in Adobe Photoshop, Illustration and indesign and ready to start work immediately upon hiring. Project detail and files would be send to selected freelancer.",,2023-01-28,Clifton,United States,USD,Graphic
Social media marketing for a food business,Social Media,Expert ($$$),Social Media Strategy,GBP,297.0,remote,ALL,fixed_price,2023-01-28 17:42:19,"I need someone who can assist with ongoing social media marketing on my behalf mainly instagram, Facebook and tik tok. We are an ice cream and desert parlour and want to drive more customers to our shops so can offer digital vouchers, incentives, offers and increase general brand awareness - we have just undertaken a photo shoot so want to upload pictures, reels and maybe videos and willing to take on some paid / sponsored advertising on these platforms also",,2023-01-28,London,United Kingdom,GBP,Data entry
"LinkedIn Optimization, Lead generation & Sales Navigator expert",Social Media,Expert ($$$),Linkedin Marketing,USD,155.0,remote,ALL,fixed_price,2023-01-28 14:46:26,I need a linked expert in sales navigator and lead generation to create and optimize a personal business LinkedIn account from scratch and add connections and generate leads for a beef and lamb export company. The expert must know how to generate leads via sales navigator and how to grow a LinkedIn account from scratch ,,2023-01-27,Vilnius,Lithuania,USD,
Shopify Expert for Website edits,Technology & Programming,Entry ($),Website Development,GBP,30.0,remote_country,GB,fixed_price,2023-01-28 14:46:26,"Looking for a shopify expert, for bits and bobs to be done on website.

Ideally UK based and available within usual 9am-5pm monday-fridays.

First job:
Locking of text/copy on pages.

Second Job:
typeform intergration

Someone that is quick to respond and can get the job done quickly and efficiently. 

Not huge jobs but ideally a ""go-to"" for my small business.
",less than 1 week,2022-09-08,Tiverton,United Kingdom,GBP,CEO
Help with Wordpress FSE ,Technology & Programming,Entry ($),Website Development,GBP,20.0,remote,ALL,fixed_price,2023-01-28 16:30:50,"I have a Wordpress FSE site which requires two adjustments. I want a search box inline with the navigation menu. I want the breadcrumb centered. 
If I try adding a seach box to the menu I just get a new header. So that positions the whole thing further down. 
I am using the Yoast breadcrumb. As standard it is left justified, and there seems to be no available setting. If I add a prefix to the breadcrumb, the result is centered, but the prefix is on the left and the rest is on the right. Does not look right! 
I want someone to look at the site and let me know how to make the changes. I imagine this is about five minutes work for someone who knows Wordpress FSE.
! Please note this needs to be executed in FSE. I am not open to making changes to the code. This gives problems with updates and especially with changes of the theme. These changes need to be executed with blocks in FSE. 
The project requires you to describe the steps to implement the solution with blocks in FSE. 

The site is avantgardescience.com",,2019-12-24,Bristol,United Kingdom,GBP,
Cloud Data & Storage Support ,Technology & Programming,Entry ($),Databases,GBP,100.0,remote,ALL,fixed_price,2023-01-28 14:25:56,"We are looking to migrate our website to a Cloud system likely Cloud Front and AWS data storage.

We are a video platform where users upload, download and stream videos over the platform.

We current store data on the server but naturally need to scale this.

Please only respond with specific proposals or questions. No generic copy paste proposals will be responded to.",,2016-07-22,London,United Kingdom,GBP,
Need a Digital Marketing Expert for Product based marketing,Digital Marketing,Expert ($$$),"SEM, Adwords & PPC",GBP,110.0,remote,ALL,fixed_price,2023-01-28 14:13:40,"I need a skilled and experienced professional for Digital Marketing of In-house Product range.
Those who have experience in Product marketing are requested to apply. We will check relevant reports so you should be ready to demonstrate the same and gain trust.

We deal in 7 different segments as a company but at this stage 2 of these segments are needing a push of good digital marketing, details of the same will be shared upon request.",,2023-01-26,Varanasi,India,USD,
Help with a Logo,Design,Entry ($),Logo Design,USD,68.0,remote,ALL,fixed_price,2023-01-28 14:13:40,"I have a content website which I ahve created a very simple logo for. I need someone with a creative sense to adopt my logo to bring it to life, design and deliver on PSD, PNG, JPEG in colour, black",,2023-01-28,Clifton,United States,USD,Graphic
Interior Designer - Master Bedroom Project,Design,Entry ($),Interior/Exterior Design,USD,148.0,remote,ALL,fixed_price,2023-01-28 14:13:40,"I am looking to redo the master bedroom suite and need some help with interior design. 

I would need: 
- CAD renderings for the design 
- Help with complete design of the place (furniture picks, light fixture, wall color, decoration items etc). Within an established budget. 
- Already have some furniture bought from Wayfair and would need those to be included in CAD renderings. 
- Need help with the design/planning and not the construction/execution phase of it.",,2023-01-26,Zurich,Switzerland,USD,
Tiktok reels,Digital Marketing,Expert ($$$),Growth Hacking,GBP,105.0,remote,ALL,fixed_price,2023-01-28 14:13:40,I need someone to create and hash tag  videos / reels in tiktok to drive traffic to my website /App ,,2022-06-26,Havant,United Kingdom,GBP,
Architectural & Fabrication Drawings,Design,Entry ($),3D Design,USD,111.0,remote,ALL,fixed_price,2023-01-28 13:55:28,"I need someone with experience in the production of shop and fabrication drawings for architectural projects.

We can use either Revit or SolidWorks.

The drawings will need to be built with formulas so that when we need to make changes to the drawings, it will be a simple matter.

If you're interested, drop me a note, and I will share the project(s) details.

The job will be fixed price.

Thanks for looking",,2023-01-26,Zurich,Switzerland,USD,
Admin Assiatance,Business,Expert ($$$),Administration Assistance,GBP,20.0,remote,ALL,hourly,2023-01-28 13:47:53,"I require someone to assist me with administration duties, including but not limited to, recruitment, quoting, calls, emails, diary management (operatives & management)

I've started a new division within the company and require assistance with the workload.

IMMEDIATE START! MUST BE UK BASED",,2013-10-02,London,United Kingdom,GBP,Managing Director
Graphic Artist Flyers and website and other,Design,Entry ($),Graphic Design,USD,68.0,remote,ALL,fixed_price,2023-01-28 13:47:53,Need graphic artist to create flyers and online pieces for upcoming conference and other events. Also need website updates will consider long term assignment based on this work---all remote.....,,2023-01-28,Clifton,United States,USD,Graphic
UK Copywriter for blog posts,Writing & Translation,Expert ($$$),Copywriting,GBP,40.0,remote,ALL,hourly,2023-01-28 13:26:39,"Hi, Thanks for taking a look. We're looking for a UK-based copywriter to produce content for our business at a high standard. The category for the content is based on homes and gardens. We're looking to achieve 2 goals. Firstly, we have some previous projects with excellent photography, we'll need you to produce some excellently written case study content which describes the project and sells it to our potential customers. You can ask us all the questions you'd need to attain the information for the copy. The case studies are sales based, and we'll be having a dedicated section for them on our website.",,2023-01-28,London,United Kingdom,GBP,
Looking for someone who is able to bypass queues (Queue-It),Technology & Programming,Expert ($$$),Programming & Coding,GBP,400.0,remote,ALL,fixed_price,2023-01-28 13:26:39,"Hi. I am looking for someone who is able to bypass or skips large chunks of queuing associated with queue-it. 

This is for personal use and not for profit and is based around sporting tickets ",,2023-01-28,Leeds,United Kingdom,GBP,
Website maintenance,Design,Entry ($),Web Design,GBP,30.0,remote_country,GB,fixed_price,2023-01-28 16:56:46,"I'm not looking for website design, so please only reply if you can handle website fixes.

I have a simple Wordpress website that has been well designed, but development is faulty. I can manage updates myself in Elementor, but the update mechanisms need fixing. A couple of examples:

- content updates don't work across laptop and mobile devices, so not integrated correctly. 

- I don't know how to amend the testimonial text as they have been created as an image. 

I can supply the designer's 'how to' instructions, which I use to update content. These need checking and testing to ensure updates function correctly across all devices and guidance given where needed.

",less than 1 week,2008-11-06,Radlett,United Kingdom,GBP,PR & Marketing Consultant
Looking for someone to help with my social media,Social Media,Intermediate ($$),Community Management,GBP,200.0,remote,ALL,fixed_price,2023-01-28 13:26:39,"I'm a one man and limited company and also have a product coming up to launch to. I have absolutely no online social media presence and would just like some assistance getting started.

I also want to work with someone on a on going basis to build followers and write up content as well. I also want to build up a bit of a launch for a new product I have too.

UK only Please otherwise you will be wasting your time I'm sorry",,2016-06-23,Hove,United Kingdom,GBP,senior client manager
Looking for Facebook Ads to be run for my local gym.,Digital Marketing,Expert ($$$),Adsense,GBP,99.0,remote,ALL,fixed_price,2023-01-28 13:26:39,I'm looking to promote my local gym services to the local area and would like more help running ads and generating leads.,,2014-01-26,Cheadle,United Kingdom,GBP,PT
Sort out an electronic device,Technology & Programming,Expert ($$$),Software Testing,GBP,80.0,remote,ALL,fixed_price,2023-01-28 13:26:39,"Hi. 

I need to get a Raspberry device to set it up for my car. 
Can you supply me with the device and its setting. It's the best thing for me. 
I give you the link below where everything is well documented. Apparently it's easy but I'm useless in IT. 

https://teslaandroid.com/

Thanks for your feedback.
Hassane

-
Due date: Flexible

-
Due date: Flexible",,2023-01-28,London,United Kingdom,GBP,
FrontEnd Web Developer,Design,Expert ($$$),Web Design,GBP,32.0,remote,ALL,hourly,2023-01-28 13:26:39,"Looking for web developer for project. It is simple presentation company corporate web page without catalogue and payments system. In the start page need develope light effect like this https://diorbystarck.art/ which runs to the characters. 6 pages. Design project in Figma. 

Need developer not only for mechanical work. Hope to recomendation and cooperation.",,2023-01-28,Amsterdam,Netherlands,EUR,
Make logo ,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-28 13:28:07,"As a logo designer, you work with clients to understand their needs and goals, and create unique and expressive designs that reflect their brand. Use different tools and techniques, such as Adobe Illustrator and Photoshop, to create your works. Your work may include creating concept sketches, creating multiple versions of the design, and collaborating with clients to create the final product. Your work can be used for a variety of purposes, such as designing logos for companies, products or events.",,2023-01-27,London,United Kingdom,GBP,Graphic design
mobile ecommerce app,Technology & Programming,Entry ($),Mobile App Development,USD,295.0,remote,ALL,fixed_price,2023-01-28 12:51:16,"we need to create a mobile ecommerce app
basically all the functions of an ecommerce but in app
we need shopping cart, checkout, users, view orders, account, wishlist, etc
fot the payment we need to integrate with tilopay.com or some local payment processor 

if you have something already done, we can just customize our logo
we need to be in english and spanish and multi currency 

please send samples of work
we do not accept offers without samples or previous experience

we are ready to start just be very detailed and specific in what you can deliver 
thanks
",,2021-07-31,Heredia,Costa Rica,USD,
Brand Promotion,Social Media,Entry ($),Social Media Strategy,USD,10.0,remote,ALL,hourly,2023-01-28 12:50:32,"Looking for a freelancer who can market my stores through many social media platforms. You must have minimum influence over social media, please feel free to communicate with me and you must provide proof of your pages / strategies (for e.g: if you want to promote via facebook, send proof of your page or groups where you will promote)

*Salary + Big Commission ",Ongoing,2023-01-14,Candelaria,Philippines,USD,Multi awarded Technical Planner in Construction Firm
Customer Success Representative needed for Shopify Stores,Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote,ALL,fixed_price,2023-01-28 12:50:23,"We are looking for a ""Customer Service Representative"" with experience working in E-Commerce mainly with Shopify.

We are an agency providing Shopify store management for some of our clients. Our company needs someone who can communicate in perfect english, understand our customer's needs and solve all their questions.
We value autonomous professional work a lot. 

Requirements:
- English fluency ( writing and speaking)
- Past experience working as a customer service agent for E-Commerce stores (ideally Shopify).
- Client's satisfaction is our priority, so we truly need a patient person who can solve all their problems quickly and as accurately as possible.

Responsibilities:
- You must reply to all emails within 12h maximum.
- Issue refunds according to our Refund Policy.
- Establish templated responses and preferred customer service App (ZenDesk)
- Re-send products to customers when needed.
- Be active (daily responsiveness) on Staff's Slack group chat.
- Display a high level of professionalism at all times.
- Maintain Order transparency from Printfull & Shopify
- Contact with our suppliers when needed.

Thank you for reading.",,2023-01-28,London,United Kingdom,GBP,
1 hour's work - I.T Expert - Update Drivers for External Monitor,Technology & Programming,Entry ($),Software Testing,GBP,15.0,remote,ALL,fixed_price,2023-01-28 12:50:14,I'm looking for someone to help me with my laptop. It will no longer work with the external monitor and I suspect that this is because the drivers need to be updated. I need help with this sometime over the next 2 days. It should be around 1 hour's work to do this,,2017-07-07,City of London,United Kingdom,GBP,Quantity Surveyor
Logo/branding/illustrations/beverage labels,Design,Expert ($$$),Graphic Design,GBP,88.0,remote,ALL,fixed_price,2023-01-28 12:41:16,Diggin livin is the main company. I would like to simplify the logo slightly. Then I would like a logo and branding design for a daughter company Honey bee brews. We made honey beverages with our honey... ,,2023-01-28,New York City,United States,USD,
Brand Design for The Thistle Group,"Marketing, Branding & Sales",Expert ($$$),Branding,GBP,31.0,remote,ALL,hourly,2023-01-28 16:56:46,"I'm looking for a modern brand to be designed for The Thistle Group. We are a start up which provides virtual office, virtual assistant and other general services to support those starting up / running their small businesses. 

You can visit the website - www.thistleoffices.com 

I don't like the current one so looking for something much better. 

***
Please do not just send a one line proposal. I want to hear how you can deliver a high quality brand for The Thistle Group. Our main brand is Thistle Offices which is a virtual office and virtual assistant services. The website is www.thistleoffices.com 

Please include links to or a portfolio of previous work. 

Preferably UK based freelancers. ",,2022-12-05,Ardrossan,United Kingdom,GBP,
